composite,full,tail20,tail10,ts_fold5,w_v032,w_v028,w_v017,w_v010,w_v029,spearman_to_first,mean_rank_delta
0.12321959664615421,0.13730293317100078,0.12337087566600789,0.1169888968611017,0.11953603046707731,0.41436801431514875,0.1935604949607963,0.14706796420902693,0.16956619885008095,0.07543732766494717,0.9214871881327203,0.08278081627596694
0.1232195917260706,0.13639416912230082,0.12396737513926011,0.11704404489771782,0.11967506185522557,0.46393960484521957,0.20105697105231035,0.15513048195961887,0.12681439442095083,0.05305854772190055,0.914335268662102,0.08613610533533808
0.12321907317326405,0.13544100031748701,0.12397751148016575,0.11701983588320096,0.12022974812266644,0.46331958118932526,0.21197574821138268,0.11042244713415678,0.20602908896128166,0.008253134503853617,0.9064450999372257,0.09086553183335494
0.12321876068777414,0.13718227189849933,0.123417531590649,0.11722934101641509,0.11940418495954486,0.4272720454402667,0.22159096163814382,0.14858305300834337,0.1401704802983728,0.062383459614873196,0.9215203643308707,0.08251858441419964
0.12321836588913263,0.13714209462027488,0.12355789462035455,0.11682796934218959,0.11963250201559811,0.40870699614230305,0.194368787401456,0.17020076187477975,0.1644589397169804,0.0622645148644808,0.9201778116610074,0.08334308992119732
0.12321821925328465,0.13620970489330328,0.12390808716625702,0.11687702605384268,0.11992972665117686,0.4166453329200853,0.23741535386660514,0.18023526493474384,0.16570404827856552,0.0,0.9142007119760631,0.0863553185511044
0.12321806642238632,0.13692332619182476,0.12361596044816871,0.11723372623933014,0.11943365009872883,0.4591363582458567,0.20104899112143712,0.13498394388701124,0.1270769821741227,0.07775372457157238,0.9187498584369925,0.08393470696655396
0.12321778507838693,0.1373447413990374,0.12343170503365387,0.11707125655631738,0.11941337615076951,0.4325390152122301,0.18825870274762727,0.1438557435591856,0.14587200992236687,0.08947452855859021,0.9216966323670038,0.08249340866477689
0.12321705047797368,0.13672586051338104,0.1237410228633304,0.11721555747090169,0.11948509838544567,0.47610789113708946,0.1894462541352644,0.12709578431423402,0.1237999595784084,0.08355011083500359,0.9167673885972968,0.08496444841815044
0.1232167708828836,0.1367989275945361,0.12369354519554886,0.11671929345444755,0.11982415131787064,0.42831364707006264,0.1684469315009084,0.14916075120756578,0.18355470945881272,0.07052396076265047,0.9164007594343468,0.08554757317579752
0.12321572205523075,0.13736800881728928,0.12331562400834524,0.1170268534840078,0.11949223462600544,0.41604330786983956,0.19243716699681124,0.14167533975353844,0.16912380542698963,0.08072037995282108,0.9220005836480005,0.08252424923578469
0.12321430859220012,0.1372735887528191,0.12338871067647247,0.11702631298953711,0.11950077273987864,0.4051138976616603,0.2148562199569902,0.1631636891692775,0.1589306592890283,0.057935533923043715,0.9220244790821795,0.08234775571387906
0.12321428005776085,0.13708097113838477,0.1235259492584323,0.11721924466631099,0.11939452803377056,0.44834510368128105,0.20365543618140364,0.13934736945190895,0.13028664300171566,0.0783654476836908,0.920128342250322,0.08322308019111971
