group,models,alpha,full,tail20,tail10,tail5,ts_fold5,composite,utility,failed_excess,anchor_shortfall,rank_delta_excess,spearman_to_anchor,spearman_to_failed,mean_rank_delta_to_anchor
low_failed,v021+v023+v017,0.14,0.13677442073822021,0.11112959682941437,0.1071832999587059,0.14752934873104095,0.11112959682941437,0.1257177982479334,0.1257177982479334,0.0,0.0,0.0,0.9993856556624997,0.9069521051807825,0.0077047199010849
low_failed,v021+v023+v017,0.12,0.1366947889328003,0.11111199110746384,0.10723470151424408,0.1477057933807373,0.11111199110746384,0.1257020369172096,0.1257020369172096,0.0,0.0,0.0,0.9995502790104951,0.9072050833899183,0.006594636477530003
low_failed,v021+v023+v017,0.1,0.13661089539527893,0.11109253764152527,0.10728441178798676,0.14788086712360382,0.11109253764152527,0.1256834127008915,0.1256834127008915,0.0,0.0,0.0,0.9996888410908766,0.9074346683971813,0.0054876371286809444
low_failed,v021+v023+v017,0.08,0.1365227997303009,0.11107124388217926,0.10733244568109512,0.14805440604686737,0.11107124388217926,0.12566194050014018,0.12566194050014018,0.0,0.0,0.0,0.9998015767831501,0.9076406533158742,0.004383987281471491
low_failed,v021+v023+v017,0.06,0.13643038272857666,0.11104810237884521,0.10737873613834381,0.14822645485401154,0.11104810237884521,0.12563755884766578,0.12563755884766578,0.0,0.0,0.0,0.999888790850906,0.9078232030577283,0.0032833947334438562
low_failed,v021+v023+v017,0.05,0.13638241589069366,0.11103573441505432,0.10740119963884354,0.14831191301345825,0.11103573441505432,0.1256241787225008,0.1256241787225008,0.0,0.0,0.0,0.9999229134126972,0.9079057240597788,0.0027342347893863916
low_failed,v021+v023+v017,0.04,0.13633354008197784,0.1110229343175888,0.10742327570915222,0.14839695394039154,0.1110229343175888,0.12561016008257866,0.12561016008257866,0.0,0.0,0.0,0.9999507525693849,0.9079827007564394,0.0021858536638319492
v021,v021,0.04,0.13575179874897003,0.11074267327785492,0.10750431567430496,0.14844073355197906,0.11074267327785492,0.12528083212673666,0.12528083212673666,0.0,0.0,0.0,0.9999396943846107,0.9057635957368853,0.0023754017893224955
v021,v021,0.05,0.13565368950366974,0.11068516224622726,0.10750170797109604,0.14836518466472626,0.11068516224622726,0.1252114836126566,0.1252114836126566,0.0,0.0,0.0,0.9999056769434841,0.9051280236439628,0.002970347413793206
v023,v023,0.04,0.1358574777841568,0.1106346845626831,0.10716690868139267,0.1480608433485031,0.1106346845626831,0.1252073910087347,0.1252073910087347,0.0,0.0,0.0,0.9999125064177389,0.9049352473293463,0.002875490114092827
