utility,composite,spearman_to_anchor,max_spearman_to_failed,mean_spearman_to_failed,rank_delta_to_anchor,full,tail20,tail10,tail5,w_v016,w_v017,w_v021,w_v023,w_v025,spearman_to_sub_calibrated_tail_cli_,spearman_to_sub_anchor_blend_utility
0.13191840429545637,0.12808952044266575,0.9284561182856468,0.9543266322897217,0.937427909865889,0.08018640659257685,0.1393152590135993,0.1167936608865041,0.10720150322699337,0.1427933013654582,0.09191332127914568,0.5226621846095435,0.17923066999541534,0.02736809896593051,0.17882572514996492,0.9205291874420563,0.9543266322897217
0.1319173527510608,0.12772038724110443,0.9487609258892887,0.9669888965389579,0.9349344930774193,0.06848500731370111,0.13924452643133411,0.11551080817731532,0.10738790136914884,0.14298922688437157,0.09999024858821684,0.41882572339975116,0.40859364439437734,0.06706349071510762,0.005526892902547054,0.9028800896158807,0.9669888965389579
0.1319134466313788,0.12777233689075926,0.9463204950214911,0.9660035861710877,0.9373611549683858,0.07005080952860958,0.13907223975298125,0.11569289333145648,0.10770247255297297,0.14326590119534807,0.09510171871089704,0.43223052137965506,0.40410915733894054,0.007033972918970565,0.061524629651536704,0.908718723765684,0.9660035861710877
0.13190787431972303,0.12780405193033306,0.9434936882987816,0.9639485567022459,0.9369997471750017,0.07109091546792429,0.14005723034356846,0.11540735565672536,0.1061347462466608,0.1423587964171052,0.022661609213052398,0.5387305525180397,0.2895442733276478,0.08553855663934774,0.06352500830191216,0.9100509376477575,0.9639485567022459
0.13188966395405827,0.12791988265808055,0.9324958991937062,0.955585839193399,0.9304572899646957,0.07839112152673867,0.13895244428443618,0.11686937030263432,0.10744867401771323,0.14213170536636988,0.21185535714912385,0.3691336232112235,0.16136638816104254,0.2039857934327577,0.053658838045852364,0.9053287407359923,0.955585839193399
0.13188624719912118,0.12772920101593735,0.9457926968940146,0.9648566069368897,0.9337819728003992,0.0706492492142477,0.1386050598095678,0.1159818720431244,0.10821930370423304,0.14329466933059565,0.16086515862470516,0.3578888155598992,0.42228787525802575,0.04542853301589226,0.013529617541477756,0.9027073386639087,0.9648566069368897
0.13188481390884577,0.12797323447898634,0.9284360715148925,0.9527894357720604,0.9302832477047727,0.07967667934808784,0.14002240644204406,0.1167124057014781,0.1055232450461735,0.1412094311269706,0.10955862194677769,0.5271374286644274,0.03047922633164675,0.28994070311251996,0.04288401994462826,0.907777059637485,0.9527894357720604
0.13188302300329122,0.12829615451726498,0.9272824398131454,0.9522991010080879,0.9311912694630287,0.08149521938595607,0.13822706157159334,0.11780381538369483,0.109151690259745,0.14380078655977763,0.23823142646899176,0.36003960429174847,0.307705244839794,0.02242113116986676,0.07160259322959919,0.9100834379179693,0.9522991010080879
0.13188079123051746,0.12788345227294995,0.9374612229547398,0.9604601281949467,0.9390587044981036,0.07465576392651972,0.13981051502043432,0.11580107785610444,0.10642165311650566,0.14265149189447304,0.014821640445284098,0.5721822105308999,0.2644613884838674,0.01195978470303892,0.13657497583690972,0.9176572808012605,0.9604601281949467
0.13188071739154414,0.12772240147972055,0.9465096382736782,0.9656507142585058,0.9352006424431727,0.07006777086848227,0.13895280888870615,0.11575296081950685,0.10775024831808132,0.14305211986238509,0.12850982066655756,0.3930008654398975,0.38918832918387664,0.056790288286459246,0.032510696423209064,0.9047505706278396,0.9656507142585058
